;KNN (K = 7);Serialize (SVM, Decision Tree, KNN);Decision Tree;Voting (Soft);Bagging (Nayve Bayes);Serialize (SVM, NayveBayes, KNN);Bagging (KNN);KNN (default);Decision Tree Log;KNN (K = 3);Voting (Hard);Bagging (SVM);Decision Tree (Sqrt);Random Forests (Default);Nayve Bayes;SVM (C = 32, RBF, Gamma = 0.5);Bagging (Decision Tree)
KNN (K = 7);nan;0.03500;0.05318;0.00000;0.00000;0.00000;0.00000;0.17534;0.00000;0.00089;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Serialize (SVM, Decision Tree, KNN);0.03500;nan;0.82898;0.00000;0.00000;0.00000;0.00000;0.00975;0.00000;0.36001;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Decision Tree;0.05318;0.82898;nan;0.00000;0.00000;0.00000;0.00000;0.00603;0.00000;0.38195;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Voting (Soft);0.00000;0.00000;0.00000;nan;0.00000;0.00000;0.00021;0.00000;0.00000;0.00000;0.11558;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Bagging (Nayve Bayes);0.00000;0.00000;0.00000;0.00000;nan;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.03768;0.00000;0.00000
Serialize (SVM, NayveBayes, KNN);0.00000;0.00000;0.00000;0.00000;0.00000;nan;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Bagging (KNN);0.00000;0.00000;0.00000;0.00021;0.00000;0.00000;nan;0.00000;0.00000;0.00000;0.00024;0.00000;0.00000;0.00002;0.00000;0.00000;0.00267
KNN (default);0.17534;0.00975;0.00603;0.00000;0.00000;0.00000;0.00000;nan;0.00000;0.00006;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Decision Tree Log;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;nan;0.00000;0.00000;0.00000;0.00004;0.00000;0.00000;0.00000;0.00000
KNN (K = 3);0.00089;0.36001;0.38195;0.00000;0.00000;0.00000;0.00000;0.00006;0.00000;nan;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Voting (Hard);0.00000;0.00000;0.00000;0.11558;0.00000;0.00000;0.00024;0.00000;0.00000;0.00000;nan;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
Bagging (SVM);0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;nan;0.00000;0.00000;0.00000;0.00000;0.00000
Decision Tree (Sqrt);0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00004;0.00000;0.00000;0.00000;nan;0.00000;0.00000;0.00000;0.00000
Random Forests (Default);0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00002;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;nan;0.00000;0.00000;0.00006
Nayve Bayes;0.00000;0.00000;0.00000;0.00000;0.03768;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;nan;0.00000;0.00000
SVM (C = 32, RBF, Gamma = 0.5);0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;nan;0.00000
Bagging (Decision Tree);0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00267;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00006;0.00000;0.00000;nan
